link,timing,is_apartment,floor,floors_count,rooms_count,total_meters,price_per_m2,price,year_of_construction,living_meters,kitchen_meters,ceiling_height,residential_complex,author_developer,author_homeowner,author_realtor,author_unknown,elevator_type_missing,passenger_elevators,cargo_elevators,bathroom_type_missing,combined_bathrooms,separate_bathrooms,balcony_type_missing,balconies,loggias,repair_type_Без ремонта,repair_type_Евроремонт,repair_type_Косметический,building_type_Блочный,building_type_Кирпичный,building_type_Монолитный,building_type_Панельный,parking_type_Наземная,window_view_Во двор,window_view_На улицу,window_view_На улицу и двор,district_Дзержинский,district_Индустриальный,district_Кировский,district_Мотовилихинский,district_Орджоникидзевский,district_Свердловский
https://perm.cian.ru/sale/flat/291485382/,0,False,4,5,1,26.0,53238,1384200,1994,18.0,5.597069807408323,2.7,False,False,False,True,False,1,0,0,0,1,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/292418262/,0,False,2,27,1,27.0,92592,2500000,2016,13.0,5.0,2.7,True,False,False,True,False,0,2,2,0,1,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
https://perm.cian.ru/sale/flat/287711385/,0,False,3,9,1,25.7,141634,3640000,2023,12.0,5.0,2.7,True,False,False,True,False,0,1,0,0,1,0,0,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
https://perm.cian.ru/sale/flat/289457307/,0,False,8,9,1,28.0,75714,2120000,1991,13.0,7.0,2.7,False,False,False,True,False,0,1,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
https://perm.cian.ru/sale/flat/290315038/,0,False,4,9,1,25.7,138910,3570000,2023,12.0,5.0,2.7,True,False,False,True,False,0,1,0,0,1,0,0,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
https://perm.cian.ru/sale/flat/292321258/,45,False,1,5,1,38.5,75868,2920923,2020,14.0,9.0,2.75,False,False,False,True,False,1,0,0,0,0,1,0,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/293592137/,0,False,4,6,1,34.8,96264,3350000,2019,16.0,10.0,2.7,True,False,True,False,False,0,1,0,0,2,2,0,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
https://perm.cian.ru/sale/flat/293415438/,0,False,2,10,1,41.0,121951,5000000,2007,23.0,9.0,2.65,False,False,True,False,False,0,1,0,0,1,0,1,0,0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
https://perm.cian.ru/sale/flat/287232140/,0,False,3,5,1,37.7,82193,3098679,2022,17.0,9.0,2.75,False,False,False,True,False,1,0,0,0,0,1,0,0,1,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/292383140/,0,False,5,5,1,79.0,69391,5481901,2021,43.0,12.0,2.75,False,False,False,True,False,1,0,0,0,0,1,0,0,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/292428925/,0,False,3,5,1,30.1,99335,2990000,1963,18.0,5.0,2.7,False,False,True,False,False,1,0,0,0,1,0,0,1,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
https://perm.cian.ru/sale/flat/290499067/,0,False,4,5,1,33.7,63798,2150000,2015,18.0,8.0,2.5,True,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
https://perm.cian.ru/sale/flat/292542009/,0,False,5,5,1,29.2,102739,3000000,1962,16.0,5.0,2.7,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/292912282/,0,False,16,16,1,37.5,114666,4300000,1998,18.0,7.0,2.5,False,False,False,True,False,0,2,2,0,0,1,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/293792898/,1,False,2,5,1,32.0,109375,3500000,1973,17.0,5.0,2.7,False,False,False,True,False,1,0,0,0,0,1,0,1,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
https://perm.cian.ru/sale/flat/291680327/,12,False,5,9,1,35.5,33802,1200000,1982,20.0,7.0,2.6,False,False,False,True,False,0,5,0,1,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/291684136/,12,False,5,5,1,32.9,21884,720000,1966,20.0,6.0,2.6,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/293139800/,24,False,1,5,1,25.0,88000,2200000,1970,13.0,6.0,2.7,False,False,False,True,False,1,0,0,0,1,0,0,1,0,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False
https://perm.cian.ru/sale/flat/292288867/,14,False,1,6,1,30.0,115000,3450000,2019,15.0,8.0,2.7,True,False,False,True,False,0,2,2,1,0,0,0,1,0,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
https://perm.cian.ru/sale/flat/293722381/,12,False,7,10,1,43.0,93023,4000000,2006,17.0,11.0,2.7,False,False,False,True,False,0,1,0,0,0,1,0,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False
https://perm.cian.ru/sale/flat/283321700/,14,False,3,3,1,29.0,77586,2250000,1975,14.586866008330151,6.242885554416975,2.5,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294175622/,0,False,17,21,1,21.0,111904,2350000,2015,10.56290297154942,4.520710229060568,2.7,True,False,True,False,False,0,4,4,0,1,0,0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
